beproduct_material_id,header_number,colorway_id,name,code,hex
88a91778-016f-4e5b-9e08-709c26334514,ASRV-LOGO-RP-HT-02,803cb2ad-3d3f-4b73-b837-7fa8ac076bac,REFLECTIVE SILVER,REFLECTIVE SILVER,
c899647a-35f5-4527-a4e1-7e6e8b58b0b2,ASRV-LOGO-RP-HT-03,0d897070-cf9a-4caa-8f74-be0faca847a3,REFLECTIVE SILVER,REFLECTIVE SILVER,
ee59bf8c-fb1c-4869-ae08-8ce35f955da4,ASRV-LOGO-WINGS-RFLV-HT-01,7595b3b1-60fa-44d7-b0f9-e9a826232d08,REFLECTIVE SILVER,REFLECTIVE SILVER,
8151d28e-cbb6-4dab-b91d-c4d98c289b5f,ASRV-LOGO-WINGS-RFLV-HT-05,59531796-adcb-4bcb-99f3-5b5e868e6ffa,REFLECTIVE SILVER,REFLECTIVE SILVER,
c6f43bc2-ae5c-46fb-b1be-e2baf87648c1,ASRV-LOGO-RP-HT-01,ac168edc-19c4-48db-804f-375d581855e8,REFLECTIVE SILVER,REFLECTIVE SILVER,
19afd723-d933-4dfb-989a-b839a38d9eb8,ASRV-LOGO-WINGS-RFLV-HT-03,0f991fba-0bf1-4207-88fa-bbdbcf0d5bb7,REFLECTIVE SILVER,REFLECTIVE SILVER,
149dc16b-a2b9-4eda-994f-32af1e1f72bf,WD1516-1 W/ SILK 320 + FUZE,01ee1ea3-1fc7-4e7c-bf67-0198dbfd9857,BLACK,BLACK,222020
149dc16b-a2b9-4eda-994f-32af1e1f72bf,WD1516-1 W/ SILK 320 + FUZE,52e1c443-ba0a-43ce-9c39-64d54deba3e2,Turkish Coffee,19-0812 TCX,483f39
149dc16b-a2b9-4eda-994f-32af1e1f72bf,WD1516-1 W/ SILK 320 + FUZE,f5a1a9c2-2608-49a8-acfb-d10d45f366fa,SAGE,SAGE,8f9984
149dc16b-a2b9-4eda-994f-32af1e1f72bf,WD1516-1 W/ SILK 320 + FUZE,524db86b-a069-4f74-80a7-8d7cb2731c3a,ARMY OLIVE,ARMY OLIVE,373d30
149dc16b-a2b9-4eda-994f-32af1e1f72bf,WD1516-1 W/ SILK 320 + FUZE,e02660b2-d686-4900-a5a6-186134c84c87,CRIMSON,CRIMSON,862210
149dc16b-a2b9-4eda-994f-32af1e1f72bf,WD1516-1 W/ SILK 320 + FUZE,807dd537-6410-4c42-b8be-8e0ff597d755,LIGHT SKY,LIGHT SKY,a0dbe9
149dc16b-a2b9-4eda-994f-32af1e1f72bf,WD1516-1 W/ SILK 320 + FUZE,4d891e7d-fc1b-4051-a557-9333297ae9c6,STORM,STORM,1387a4
894ae2e2-cc00-4ce8-a27b-2bc3e4716105,LMS104,f43e716a-78e5-4de8-9cd5-ed1df73fc281,Not Applicable,Not Applicable,ffffff
